model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
BlackBerry Classic|||Released 2014, December|||177g, 10.2mm thickness|||BlackBerry OS 10.3.1, up to 10.3.2|||16GB storage, microSDXC|||3.5"|||720x720 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Plus|||2515|||mAh|||Li-Ion|||1|||Black, White, Blue, Bronze, Cobalt blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Classic.jpg
BlackBerry Curve Touch CDMA|||Cancelled|||MISSING|||BlackBerry OS 6.1|||1GB ROM storage, microSDHC slot|||3.25"|||480x360 pixels|||5|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||MISSING|||MISSING|||Li-Ion|||1|||Black|||512MB,1GB|||MISSING|||MISSING
BlackBerry 4G Playbook HSPA+|||Released 2011, February|||425g, 10mm thickness|||BlackBerry Tablet OS|||16GB/32GB/64GB storage, no card slot|||7.0"|||600x1024 pixels|||5|||MP|||1080p|||1|||GB RAM|||TI OMAP 4430|||5300|||mAh|||Li-Po|||1|||Black|||16GB,32GB,64GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook.jpg
BlackBerry Storm 9500|||Released 2008, November|||155g, 14mm thickness|||BlackBerry OS|||1GB 128MB RAM storage, microSDHC slot|||3.25"|||360x480 pixels|||3|||MP|||240p|||128|||MB RAM|||MSM7600|||1400|||mAh|||Li-Ion|||1|||Black|||1GB|||128MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-9500-storm2.jpg
BlackBerry Z20|||Cancelled|||9.5mm thickness|||BlackBerry OS 10.3|||16GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Plus|||2800|||mAh|||Li-Ion|||1|||Black, White|||16GB|||2GB|||MISSING
BlackBerry Passport|||Released 2014, September|||196g, 9.3mm thickness|||BlackBerry OS 10.3, up to 10.3.2|||32GB storage, microSDXC|||4.5"|||1440x1440 pixels|||13|||MP|||1080p|||3|||GB RAM|||Snapdragon 801|||3450|||mAh|||Li-Ion|||1|||Black, White, Red, Black&Gold, Silver|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-passport-1.jpg
BlackBerry 7130c|||Released 2006, June|||120g, 18mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, no card slot|||2.4"|||240x260 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1100|||mAh|||Li-Ion|||1|||MISSING|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-7130c.gif
BlackBerry Z30|||Released 2013, October|||170g, 9.4mm thickness|||BlackBerry OS 10.2, up to 10.3.1|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Pro|||2880|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-z30.jpg
BlackBerry Porsche Design P'9981|||Released 2011, December|||155g, 11.3mm thickness|||BlackBerry OS 7.0|||8GB storage, microSDHC|||2.8"|||640x480 pixels|||5|||MP|||720p|||768|||MB RAM|||Snapdragon S2|||1230|||mAh|||Li-Ion|||1|||Gray, Black|||8GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-porsche-design-p9981.jpg
BlackBerry Curve 8310|||Released 2007, August|||111g, 15.5mm thickness|||BlackBerry OS|||64MB ROM storage, microSDHC slot|||2.5"|||320x240 pixels|||2|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||1100|||mAh|||Li-Ion|||1|||Silver|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8310.gif
BlackBerry Curve 8300|||Released 2007, May|||111g, 15.5mm thickness|||BlackBerry OS|||64MB storage, microSDHC slot|||2.5"|||320x240 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1100|||mAh|||Li-Ion|||1|||Black|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve.gif
