model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
ZTE Grand Memo II LTE|||Released 2014, May|||7.2mm thickness|||Android 4.4.2|||16GB storage, microSDHC|||6.0"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 400|||3200|||mAh|||Li-Ion|||2|||White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-grand-memo-ii-lte.jpg
ZTE Blade A5 2020|||Released 2020, July 16|||155g, 8mm thickness|||Android 9.0 or Android 10 Go edition|||32GB/64GB storage, microSDXC|||6.09"|||720x1560 pixels|||13|||MP|||1080p|||2|||GB RAM|||Unisoc SC9863A|||3200|||mAh|||Li-Ion|||2|||Black, Blue, Green|||32GB,64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a5-2020.jpg
ZTE Blade 20|||Released 2019, October|||190g, 9mm thickness|||Android 9.0|||128GB storage, microSDXC|||6.49"|||720x1560 pixels|||16|||MP|||1080p|||4|||GB RAM|||Helio P60|||5000|||mAh|||Li-Po|||2|||Turquoise, Magic red|||128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/ztel-blade-v20.jpg
ZTE Axon M|||Released 2017, November|||230g, 12.2mm thickness|||Android 7.1.2|||64GB storage, microSDXC|||5.2"|||1080x1920 pixels|||20|||MP|||2160p|||4|||GB RAM|||Snapdragon 821|||3180|||mAh|||Li-Ion|||1|||Carbon Black|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-axon-m-1.jpg
ZTE Blade V9|||Released 2018, August|||140g, 7.5mm thickness|||Android 8.1|||32GB/64GB storage, microSDXC|||5.7"|||1080x2160 pixels|||16|||MP|||1080p|||3/4|||GB RAM|||Snapdragon 450|||3100|||mAh|||Li-Ion|||2|||Black, Gold, Blue, Grey|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v9-.jpg
ZTE Era|||Released 2012, December|||9.3mm thickness|||Android 4.0|||8GB storage, microSDHC|||4.3"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Nvidia Tegra 3|||MISSING|||MISSING|||Li-Ion|||1|||Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-era.jpg
ZTE nubia Alpha|||Released 2019, April|||158g, 13.8mm thickness|||Proprietary OS|||8GB storage, no card slot|||4.01"|||192x960 pixels|||5|||MP|||MISSING|||1|||GB RAM|||Snapdragon Wear 2100|||500|||mAh|||Li-Ion|||1|||Gold, Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-alpha.jpg
ZTE Amigo|||Released 2011, Q3|||120 g|||Android 2.2|||microSD slot|||3.2"|||320x480 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||MISSING|||MISSING|||MISSING
ZTE Zmax|||Released 2014, September|||189.9g, 8.9mm thickness|||Android 4.4.2|||16GB storage, microSDHC|||5.7"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon 400|||3400|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-zmax.jpg
ZTE Axon mini|||Released 2015, November|||140g, 7.9mm thickness|||Android 5.1.1|||32GB storage, microSDXC|||5.2"|||1080x1920 pixels|||13|||MP|||Video recorder|||3|||GB RAM|||Snapdragon 616|||2800|||mAh|||Li-Ion|||2|||Gold, Chromium Silver, Rose Gold|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-axon-mini.jpg
