model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Nokia N78|||Released 2008, May|||101.8g, 15.1mm thickness|||Symbian, S60 rel. 3.2|||76MB 96MB RAM storage, microSD slot|||2.4"|||240x320 pixels|||3|||MP|||480p|||96|||MB RAM|||MISSING|||1200|||mAh|||Li-Ion|||1|||Brown, Blue, White|||76MB|||96MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-n78.jpg
Nokia X|||Released 2014, March|||128.7g, 10.4mm thickness|||Android 4.1.2, X platform 1.1|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||3|||MP|||480p|||512|||MB RAM|||Snapdragon S4 Play|||1500|||mAh|||Li-Ion|||2|||Bright green, bright red, cyan, yellow, black, white|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-x.jpg
Nokia 301|||Released 2013, April|||102g, 12.5mm thickness|||Feature phone|||256MB ROM storage, microSDHC slot|||2.4"|||240x320 pixels|||3|||MP|||240p|||64|||MB RAM|||MISSING|||1110|||mAh|||Li-Ion|||2|||Cyan, Black, Yellow, Magenta, White|||64MB,256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-301.jpg
Nokia 2760|||Released 2007, May|||81g, 20.7mm thickness|||Feature phone|||10MB storage, no card slot|||1.9"|||128x160 pixels|||0.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Navy Blue, Velvet Red, Sandy Gold, Smoky Grey, Metallic Black|||10MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-2760.gif
Nokia 5235 Comes With Music|||Released 2010, March|||115g, 15.5mm thickness|||Symbian 9.4, Series 60 rel. 5|||70MB storage, microSDHC slot|||3.2"|||360x640 pixels|||2|||MP|||480p|||MISSING|||MISSING|||MISSING|||1320|||mAh|||Li-Ion|||1|||Black, White|||70MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-5235.jpg
Nokia C2-05|||Released 2011, December|||98.5g, 16.3mm thickness|||Feature phone|||64MB storage, microSDHC slot|||2.0"|||240x320 pixels|||0.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||860|||mAh|||Li-Ion|||1|||Dynamic Gray, Peacock Blue, Pink|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-05.jpg
Nokia Lumia 900|||Released 2012, May|||160g, 11.5mm thickness|||Microsoft Windows Phone 7.5 Mango|||16GB storage, no card slot|||4.3"|||480x800 pixels|||8|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1830|||mAh|||Li-Ion|||1|||Black, cyan, white, magenta|||16GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-900-white.jpg
Nokia G10|||Released 2021, April 26|||194g, 9.2mm thickness|||Android 11|||32GB/64GB storage, microSDXC|||6.52"|||720x1600 pixels|||13|||MP|||1080p|||3/4|||GB RAM|||Helio G25|||5050|||mAh|||Li-Po|||2|||Dusk, Night|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-g10.jpg
Nokia 3310 4G|||Released 2018, February|||88.1g, 13.4mm thickness|||Feature phone|||512MB 256MB RAM storage, microSDXC slot|||2.4"|||240x320 pixels|||2|||MP|||Video recorder|||256|||MB RAM|||MISSING|||1200|||mAh|||Li-Ion|||1|||Azure, Yellow, Warm Red, Charcoa|||512MB|||256MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-3310-2017-4g.jpg
Nokia 1209|||Released 2008, August|||79.9g, 17.5mm thickness|||Feature phone|||No card slot|||1.4"|||96x98 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Blue, Gray|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-1209.jpg
