model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
HTC Snap|||Released 2009, June|||120g, 12mm thickness|||Microsoft Windows Mobile 6.1 Standard|||192MB RAM storage, microSDHC slot|||2.4"|||320x240 pixels|||2|||MP|||Video recorder|||192|||MB RAM|||MISSING|||1500|||mAh|||Li-Ion|||1|||Brown|||192MB,256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-snap.jpg
HTC Desire Q|||Released 2013, April|||114g, 9.3mm thickness|||Android 4.0|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||480p|||512|||MB RAM|||Snapdragon S1|||1650|||mAh|||Li-Ion|||1|||White, Black, Red|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-q.jpg
HTC Desire 625|||Released 2016, August|||140.1g, 8.4mm thickness|||Android 5.1, Sense UI|||8GB storage, microSDXC|||5.0"|||720x1280 pixels|||5|||MP|||720p|||1.5|||GB RAM|||Snapdragon 210|||2000|||mAh|||Li-Ion|||1|||Gray|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-625.jpg
HTC Desire X|||Released 2012, October|||114g, 9.3mm thickness|||Android 4.0, up to 4.1.1, Sense UI 4|||4GB 768MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||480p|||768|||MB RAM|||Snapdragon S4 Play|||1650|||mAh|||Li-Ion|||2|||White/Black, Prussian Blue|||4GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-x-ofic.jpg
HTC One (M8i)|||Released Not announced yet|||160 g|||Android 5.1, Sense UI 7|||16GB/32GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 615|||MISSING|||MISSING|||Li-Ion|||1|||Gunmetal Gray, Glacial Silver, Amber Gold|||16GB,32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-m8.jpg
HTC Velocity 4G Vodafone|||Released 2012, May|||163.8g, 11.3mm thickness|||Android 2.3, Sense UI 3.5|||16GB storage, microSDHC|||4.5"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon S3|||1620|||mAh|||Li-Ion|||1|||Black, White|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/vodafone-velocity-4g-vodafone.jpg
HTC One X AT&T|||Released 2012, May|||129g, 8.9mm thickness|||Android 4.0, up to 4.1, Sense UI|||16GB storage, no card slot|||4.7"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon S4 Plus|||1800|||mAh|||Li-Po|||1|||Gray, White|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-x-ofic.jpg
HTC Desire HD2|||Cancelled|||MISSING|||Android 2.3, Sense UI 3|||8GB 512MB RAM storage, microSDHC slot|||4.3"|||540x960 pixels|||8|||MP|||1080p|||512|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||8GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-sensation-new.jpg
HTC Desire 616 dual sim|||Released 2014, June|||150g, 9.2mm thickness|||Android 4.2.2, Sense UI 5.5|||4GB 1GB RAM storage, microSDHC slot|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||MT6592|||2000|||mAh|||Li-Po|||2|||Black, White, Red|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-616--dual-sim.jpg
HTC U11 Life|||Released 2017, December|||142g, 8.1mm thickness|||Android 8.0, up to Android 9.0, Android One|||32GB/64GB storage, microSDXC|||5.2"|||1080x1920 pixels|||16|||MP|||2160p|||3/4|||GB RAM|||Snapdragon 630|||2600|||mAh|||Li-Ion|||2|||Brilliant Black, Sapphire Blue, Ice White|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-u11-life-r1.jpg
HTC Zeta|||Released Not officially announced yet|||146g, 9.8mm thickness|||Android 4.0, Sense UI|||32GB storage, no card slot|||4.5"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||MISSING|||1830|||mAh|||Li-Ion|||1|||Black|||32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-zeta.jpg
HTC One X|||Released 2012, May|||130g, 8.9mm thickness|||Android 4.0, up to 4.1.1, Sense UI|||16GB/32GB storage, no card slot|||4.7"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Nvidia Tegra 3|||1800|||mAh|||Li-Po|||1|||Gray, White|||1GB,16GB|||MISSING,32GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-x-global.jpg
HTC One|||Released 2013, March|||143g, 9.3mm thickness|||Android 4.1.2, up to 5, Sense UI 5|||32GB/64GB storage, no card slot|||4.7"|||1080x1920 pixels|||4|||MP|||1080p|||2|||GB RAM|||Snapdragon 600|||2300|||mAh|||Li-Po|||1|||Black, Silver, Red, Blue, Gold|||32GB,64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-m7-new1.jpg
HTC Ignite|||Cancelled|||MISSING|||Microsoft Windows Phone 7|||512MB RAM storage, no card slot|||3.7"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-ignite.jpg
HTC Desire 828 dual sim|||Released 2015, November|||148g, 7.9mm thickness|||Android 5.1, Sense UI 6|||16GB/32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6753|||2800|||mAh|||Li-Ion|||2|||White|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-828w.jpg
HTC Raider 4G|||Released 2011, October|||177g, 11.2mm thickness|||Android 2.3.4, up to 4.0, Sense UI|||16GB storage, microSDHC|||4.5"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||MISSING|||1620|||mAh|||Li-Ion|||1|||Black|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-raider-4g.jpg
