model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Sony Xperia Z5 Dual|||Released 2015, October|||154g, 7.3mm thickness|||Android 5.1.1, up to 7.0|||32GB storage, microSDXC|||5.2"|||1080x1920 pixels|||23|||MP|||2160p|||3|||GB RAM|||Snapdragon 810|||2900|||mAh|||Li-Ion|||2|||White, Graphite Black, Gold, Green|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-z5-.jpg
Sony Xperia Z4 Tablet WiFi|||Released 2015, June|||389g (Wi-FI), 6.1mm thickness|||Android 5.0, up to 6.0|||32GB storage, microSDXC|||10.1"|||2560x1600 pixels|||8|||MP|||1080p|||3|||GB RAM|||Snapdragon 810|||6000|||mAh|||Li-Po|||1|||Black, White|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/-sony-xperia-z4-tablet.jpg
Sony Xperia ZL|||Released 2013, March|||151g, 9.8mm thickness|||Android 4.1.2, up to 5.1.1|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Pro|||2370|||mAh|||Li-Ion|||1|||Black, White, Red|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-zl.jpg
Sony Xperia XA2 Ultra|||Released 2018, February|||221g, 9.5mm thickness|||Android 8.0|||32GB/64GB storage, microSDXC|||6.0"|||1080x1920 pixels|||23|||MP|||2160p|||4|||GB RAM|||Snapdragon 630|||3580|||mAh|||Li-Ion|||2|||Silver, Black, Blue, Gold|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-ultra-.jpg
Sony Xperia XZ1 Compact|||Released 2017, October|||140g, 9.3mm thickness|||Android 8.0, up to Android 9.0|||32GB storage, microSDXC|||4.6"|||720x1280 pixels|||19|||MP|||2160p|||4|||GB RAM|||Snapdragon 835|||2700|||mAh|||Li-Ion|||1|||Black, White Silver, Horizon Blue, Twilight Pink|||32GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-compact.jpg
Sony Xperia M2|||Released 2014, May|||148g, 8.6mm thickness|||Android 4.3, up to 5.1|||8GB storage, microSDHC|||4.8"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||2300|||mAh|||Li-Ion|||1|||Black, White, Purple|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m2.jpg
Sony Xperia XZs|||Released 2017, April 03|||161g, 8.1mm thickness|||Android 7.1, up to Android 8.0|||32GB/64GB storage, microSDXC|||5.2"|||1080x1920 pixels|||19|||MP|||2160p|||4|||GB RAM|||Snapdragon 820|||2900|||mAh|||Li-Ion|||1|||Black, Warm Silver, Ice Blue|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xzs-2017.jpg
Sony Xperia XZ Premium|||Released 2017, June 18|||195g, 7.9mm thickness|||Android 7.1, up to Android 9.0|||64GB storage, microSDXC|||5.46"|||3840x2160 pixels|||19|||MP|||2160p|||4|||GB RAM|||Snapdragon 835|||3230|||mAh|||Li-Ion|||1|||Luminous Chrome, Deepsea Black, Bronze Pink, Rosso|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz-premium-2017.jpg
Sony Xperia E3|||Released 2014, September|||143.8g, 8.5mm thickness|||Android 4.4.2, up to Android 4.4.4|||4GB 1GB RAM storage, microSDHC slot|||4.5"|||480x854 pixels|||5|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||2330|||mAh|||Li-Ion|||1|||Black, White, Yellow, Copper|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e3-dual.jpg
Sony Xperia 5|||Released 2019, October 05|||164g, 8.2mm thickness|||Android 9.0, up to Android 11|||128GB storage, microSDXC|||6.1"|||1080x2520 pixels|||12|||MP|||2160p|||6|||GB RAM|||Snapdragon 855|||3140|||mAh|||Li-Ion|||2|||Blue, Red, Black, Grey|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-.jpg
